"","Loc","Type","Spec","Family","Order","lat","lng","date","Sampletime","Det","Stage","Sex","Method"
"1","Bo","crop","?","Vespertilionidae","Chiroptera",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"2","Bo","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.799362,4.813764,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"3","Bo","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.80072,4.812192,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"4","Bo","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"5","Bo","tree","Pipistrellus pygmaeus","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"6","Bo","tree","?","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"7","Bo","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.798534,4.814494,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"8","Bo1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.830734,4.813417,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"9","Bo1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.831448,4.813626,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"10","Bo2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.804672,5.00229,2023-06-12,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"11","Ge1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"12","Ge1","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"13","Ge1","tree","Nyctalus noctula","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"14","Ge1","tree","?","Vespertilionidae","Chiroptera",51.01141,3.686242,2023-05-25,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"15","Ie","crop","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.898197,2.833149,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"16","Ie","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.898197,2.833149,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"17","Ie","crop","Eptesicus serotinus","Vespertilionidae","Chiroptera",50.898197,2.833149,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"18","Ie","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.897827,2.834499,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"19","Ie1","crtl","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.869884,2.80778,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"20","Ie1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.868481,2.808143,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"21","Ie1","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.868481,2.808143,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"22","Ie2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.894154,2.837079,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"23","Ie2","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.892433,2.838647,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"24","Ie2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.892433,2.838647,2023-05-27,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"25","L1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.818477,4.672386,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"26","L1","crtl","?","Vespertilionidae","Chiroptera",50.818477,4.672386,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"27","L1","tree","?","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"28","L1","tree","Myotis spec.","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"29","L1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"30","L1","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.819168,4.673106,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"31","L2","crtl","Eptesicus serotinus","Vespertilionidae","Chiroptera",50.829258,4.671156,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"32","L2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.829258,4.671156,2023-06-10,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"33","Mb","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.969597,3.755234,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"34","Mb","crtl","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.969597,3.755234,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"35","Mb","crtl","?","Vespertilionidae","Chiroptera",50.969597,3.755234,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"36","Mb","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.970682,3.754116,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"37","Mb","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.970682,3.754116,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"38","Mb1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.962509,3.764582,2023-05-23,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"39","Mb1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.96162,3.764554,2023-05-23,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"40","Me","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.98959,3.828819,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"41","Me","crop","Nyctalus noctula","Vespertilionidae","Chiroptera",50.98959,3.828819,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"42","Me","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.988918,3.828591,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"43","Me","tree","?","Vespertilionidae","Chiroptera",50.989864,3.829628,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"44","Me","tree","Plecotus auritus/austriacus","Vespertilionidae","Chiroptera",50.989864,3.829628,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"45","Me","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.989864,3.829628,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"46","Me1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.99086,3.820881,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"47","Me1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.992008,3.820138,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"48","Me2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.988483,3.808303,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"49","Me2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.988411,3.808989,2023-05-24,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"50","Oz","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.930286,3.833097,2023-05-23,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"51","PL","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.759422,4.036237,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"52","PL","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.75819,4.03304,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"53","PL","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.760017,4.03697,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"54","PL","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.760017,4.03697,2023-06-14,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"55","Ti1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.014877,3.473279,2023-05-18,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"56","Ti1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.017292,3.472148,2023-05-18,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"57","TW","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.930634,4.915771,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"58","TW","crop","?","Vespertilionidae","Chiroptera",50.930634,4.915771,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"59","TW","crtl","?","Vespertilionidae","Chiroptera",50.92865,4.919942,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"60","TW","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.92865,4.919942,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"61","TW","crtl","Myotis spec.","Vespertilionidae","Chiroptera",50.92865,4.919942,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"62","TW","tree","Myotis spec.","Vespertilionidae","Chiroptera",50.931244,4.916273,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"63","TW","tree","Plecotus auritus/austriacus","Vespertilionidae","Chiroptera",50.931244,4.916273,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"64","TW","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.931244,4.916273,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"65","TW1","crop","Plecotus auritus/austriacus","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"66","TW1","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"67","TW1","crop","?","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"68","TW1","crop","Nyctalus noctula","Vespertilionidae","Chiroptera",50.952758,4.725003,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"69","TW1","crtl","Nyctalus noctula","Vespertilionidae","Chiroptera",50.952572,4.724937,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"70","TW1","crtl","?","Vespertilionidae","Chiroptera",50.952572,4.724937,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"71","TW1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.952572,4.724937,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"72","TW1","tree","?","Vespertilionidae","Chiroptera",50.953194,4.724807,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"73","TW1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.953194,4.724807,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"74","TW2","crtl","?","Vespertilionidae","Chiroptera",50.93,4.91899,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"75","TW2","crtl","Plecotus auritus/austriacus","Vespertilionidae","Chiroptera",50.93,4.91899,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"76","TW2","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.93,4.91899,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"77","TW2","tree","?","Vespertilionidae","Chiroptera",50.929592,4.919866,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"78","TW2","tree","Plecotus auritus/austriacus","Vespertilionidae","Chiroptera",50.929592,4.919866,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"79","TW2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.929592,4.919866,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"80","TW3","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.927067,4.925451,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"81","TW3","crtl","?","Vespertilionidae","Chiroptera",50.927067,4.925451,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"82","TW3","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.926302,4.92707,2023-06-28,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"83","Zo","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.106331,3.55805,2023-05-19,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"84","Zo","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.106567,3.557371,2023-05-19,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"85","Zo","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.105865,3.556603,2023-05-19,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"86","Zo1","crtl","Plecotus auritus/austriacus","Vespertilionidae","Chiroptera",51.107437,3.567569,2023-05-18,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"87","Zo1","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.107437,3.567569,2023-05-18,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"88","Zo1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.107109,3.566462,2023-05-18,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"89","Zo2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",51.112732,3.537079,2023-05-19,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"90","Zw","crop","?","Vespertilionidae","Chiroptera",50.850731,3.71571,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"91","Zw","crop","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.850731,3.71571,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"92","Zw","crop","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.850731,3.71571,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"93","Zw","crtl","?","Vespertilionidae","Chiroptera",50.850586,3.71506,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"94","Zw","crtl","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.850586,3.71506,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"95","Zw","crtl","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.850586,3.71506,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"96","Zw","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.8504912,3.7158625,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"97","Zw","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.8504912,3.7158625,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"98","Zw","tree","?","Vespertilionidae","Chiroptera",50.8504912,3.7158625,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"99","Zw1","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.875347,3.7624,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"100","Zw2","tree","?","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"101","Zw2","tree","Pipistrellus nathusii","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"102","Zw2","tree","Pipistrellus pipistrellus","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"103","Zw2","tree","Myotis spec.","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
"104","Zw2","tree","Plecotus auritus/austriacus","Vespertilionidae","Chiroptera",50.842518,3.745591,2023-06-02,1,"Jari Vandendriessche & Bob Vandendriessche","","","AudioMoth recording"
